ids,comment_type,comment_text
9,2ПОС," Оплата товара, услуги, по карте 440043******2597, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.09.21 на сумму 590(KZT), Терминал 20903613"
10,2ПОС," Оплата товара, услуги, по карте 533193******2050, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.09.21 на сумму 1612.8(KZT), Терминал 20903613"
11,2ПОС," Оплата товара, услуги, по карте 420363******6126, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 09.09.21 на сумму 380(KZT), Терминал 20903613"
12,2ПОС," Оплата товара, услуги, по карте 433017******5132, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 10.09.21 на сумму 6830(KZT), Терминал 20903613"
13,2ПОС," Оплата товара, услуги, по карте 426904******5357, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 11.09.21 на сумму 1582.5(KZT), Терминал 20903613"
14,2ПОС," Оплата товара, услуги, по карте 533193******2050, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 12.09.21 на сумму 561.6(KZT), Терминал 20903613"
16,2ПОС," Пополнение счета через ATM 700029 с функцией Cash-in. Плательщик - Товарищество с ограниченной ответственностью ""Beerlin"""
18,2ПОС," Оплата товара, услуги, по карте 440043******1362, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 13.09.21 на сумму 1680(KZT), Терминал 20903613"
19,2ПОС," Оплата товара, услуги, по карте 440043******2059, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 14.09.21 на сумму 960(KZT), Терминал 20903613"
20,2ПОС," Оплата товара, услуги, по карте 462282******0858, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 16.09.21 на сумму 5730(KZT), Терминал 20903613"
21,2ПОС," Оплата товара, услуги, по карте 544412******0001, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 17.09.21 на сумму 3725.28(KZT), Терминал 20903613"
22,2ПОС," Оплата товара, услуги, по карте 516949******6418, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 18.09.21 на сумму 3530(KZT), Терминал 20903613"
23,2ПОС," Оплата товара, услуги, по карте 544412******0001, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 19.09.21 на сумму 1478.28(KZT), Терминал 20903613"
25,2ПОС," Оплата товара, услуги, по карте 445329******4733, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 20.09.21 на сумму 635(KZT), Терминал 20903613"
26,2ПОС," Оплата товара, услуги, по карте 445024******6709, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 21.09.21 на сумму 280(KZT), Терминал 20903613"
27,2ПОС," Оплата товара, услуги, по карте 445329******4793, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 22.09.21 на сумму 125(KZT), Терминал 20903613"
28,2ПОС," Оплата товара, услуги, по карте 440563******9172, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 23.09.21 на сумму 795(KZT), Терминал 20903613"
29,2ПОС," Оплата товара, услуги, по карте 440043******5730, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 25.09.21 на сумму 1596(KZT), Терминал 20903613"
30,2ПОС," Оплата товара, услуги, по карте 516949******8842, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 26.09.21 на сумму 3234.75(KZT), Терминал 20903613"
31,2ПОС," Оплата товара, услуги, по карте 440043******0183, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 24.09.21 на сумму 500(KZT), Терминал 20903613"
32,2ПОС," Оплата товара, услуги, по карте 404243******9409, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 27.09.21 на сумму 880(KZT), Терминал 20903613"
34,2ПОС," Оплата товара, услуги, по карте 427067******5490, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 28.09.21 на сумму 8640(KZT), Терминал 20903613"
35,2ПОС," Оплата товара, услуги, по карте 440563******0601, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 29.09.21 на сумму 585(KZT), Терминал 20903613"
36,2ПОС," Оплата товара, услуги, по карте 426343******6666, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 30.09.21 на сумму 1413.6(KZT), Терминал 20903613"
37,2ПОС," Оплата товара, услуги, по карте 404242******7543, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 01.10.21 на сумму 1480(KZT), Терминал 20903613"
38,2ПОС," Оплата товара, услуги, по карте 516949******5357, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 02.10.21 на сумму 4795(KZT), Терминал 20903613"
39,2ПОС," Оплата товара, услуги, по карте 426343******7536, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 03.10.21 на сумму 855.4(KZT), Терминал 20903613"
40,2ПОС," Оплата товара, услуги, по карте 455872******8679, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 04.10.21 на сумму 1275(KZT), Терминал 20903613"
42,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 05.10.21 на сумму 1270(KZT), Терминал 20903613"
43,2ПОС," Оплата товара, услуги, по карте 440043******4371, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.10.21 на сумму 660(KZT), Терминал 20903613"
44,2ПОС," Оплата товара, услуги, по карте 440043******8206, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.10.21 на сумму 1400(KZT), Терминал 20903613"
45,2ПОС," Оплата товара, услуги, по карте 445329******4733, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.10.21 на сумму 1950(KZT), Терминал 20903613"
46,2ПОС," Оплата товара, услуги, по карте 489993******9960, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 09.10.21 на сумму 1955(KZT), Терминал 20903613"
47,2ПОС," Оплата товара, услуги, по карте 547187******8562, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 10.10.21 на сумму 840(KZT), Терминал 20903613"
48,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 11.10.21 на сумму 2540(KZT), Терминал 20903613"
49,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 12.10.21 на сумму 775(KZT), Терминал 20903613"
50,2ПОС," Оплата товара, услуги, по карте 445333******4439, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 13.10.21 на сумму 2125(KZT), Терминал 20903613 "
51,2ПОС," Оплата товара, услуги, по карте 440563******8526, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 14.10.21 на сумму 795(KZT), Терминал 20903613"
52,2ПОС," Оплата товара, услуги, по карте 426343******3243, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 15.10.21 на сумму 2223.1(KZT), Терминал 20903613"
53,2ПОС," Оплата товара, услуги, по карте 462818******1809, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 16.10.21 на сумму 7300(KZT), Терминал 20903613"
54,2ПОС," Оплата товара, услуги, по карте 426343******6666, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 17.10.21 на сумму 880(KZT), Терминал 20903613"
55,2ПОС," Оплата товара, услуги, по карте 440043******5944, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 18.10.21 на сумму 160(KZT), Терминал 20903613"
56,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 19.10.21 на сумму 1270(KZT), Терминал 20903613"
57,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 20.10.21 на сумму 1915(KZT), Терминал 20903613"
58,2ПОС," Оплата товара, услуги, по карте 452490******0790, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 21.10.21 на сумму 1625(KZT), Терминал 20903613"
59,2ПОС," Оплата товара, услуги, по карте 440043******3761, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 22.10.21 на сумму 510(KZT), Терминал 20903613 "
61,2ПОС," Оплата товара, услуги, по карте 426343******1592, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 23.10.21 на сумму 5860(KZT), Терминал 20903613"
62,2ПОС," Оплата товара, услуги, по карте 455872******0082, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 24.10.21 на сумму 977.6(KZT), Терминал 20903613"
63,2ПОС," Оплата товара, услуги, по карте 440043******5779, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 25.10.21 на сумму 1830(KZT), Терминал 20903613"
64,2ПОС," Оплата товара, услуги, по карте 440043******9552, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 26.10.21 на сумму 2505(KZT), Терминал 20903613"
65,2ПОС," Оплата товара, услуги, по карте 404243******1088, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 28.10.21 на сумму 1480(KZT), Терминал 20903613"
66,2ПОС," Оплата товара, услуги, по карте 455872******7504, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 29.10.21 на сумму 3300(KZT), Терминал 20903613"
67,2ПОС," Оплата товара, услуги, по карте 489993******9960, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 30.10.21 на сумму 5680(KZT), Терминал 20903613"
68,2ПОС," Оплата товара, услуги, по карте 489993******9960, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 31.10.21 на сумму 3465(KZT), Терминал 20903613"
70,2ПОС," Оплата товара, услуги, по карте 440563******4665, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 01.11.21 на сумму 1730(KZT), Терминал 20903613"
72,2ПОС," Оплата товара, услуги, по карте 452490******4169, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 02.11.21 на сумму 370(KZT), Терминал 20903613"
73,2ПОС," Оплата товара, услуги, по карте 440043******4781, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 03.11.21 на сумму 1335(KZT), Терминал 20903613"
74,2ПОС," Оплата товара, услуги, по карте 400787******3456, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 04.11.21 на сумму 3705(KZT), Терминал 20903613"
75,2ПОС," Оплата товара, услуги, по карте 440563******5147, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 05.11.21 на сумму 3380(KZT), Терминал 20903613"
76,2ПОС," Оплата товара, услуги, по карте 404243******9409, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.11.21 на сумму 1255(KZT), Терминал 20903613"
77,2ПОС," Оплата товара, услуги, по карте 445045******0843, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.11.21 на сумму 5251.2(KZT), Терминал 20903613"
78,2ПОС," Оплата товара, услуги за 29,01,22 год"
79,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.11.21 на сумму 1290(KZT), Терминал 20903613"
80,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 09.11.21 на сумму 1290(KZT), Терминал 20903613 "
81,2ПОС," Оплата товара, услуги, по карте 497149******4074, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 10.11.21 на сумму 755(KZT), Терминал 20903613"
82,2ПОС," Оплата товара, услуги, по карте 440043******0611, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 11.11.21 на сумму 5132.5(KZT), Терминал 20903613"
83,2ПОС," Оплата товара, услуги, по карте 445329******2274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 12.11.21 на сумму 3627.8(KZT), Терминал 20903613"
84,2ПОС," Оплата товара, услуги, по карте 452042******1489, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 13.11.21 на сумму 820(KZT), Терминал 20903613"
85,2ПОС," Оплата товара, услуги, по карте 440563******9677, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 14.11.21 на сумму 1835(KZT), Терминал 20903613"
87,2ПОС," Оплата товара, услуги, по карте 440043******2459, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 15.11.21 на сумму 780(KZT), Терминал 20903613"
88,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 16.11.21 на сумму 1315(KZT), Терминал 20903613"
89,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 17.11.21 на сумму 585(KZT), Терминал 20903613"
90,2ПОС," Оплата товара, услуги, по карте 440043******1106, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 18.11.21 на сумму 745(KZT), Терминал 20903613"
91,2ПОС," Оплата товара, услуги, по карте 490449******2337, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 19.11.21 на сумму 11220(KZT), Терминал 20903613"
92,2ПОС," Оплата товара, услуги, по карте 440563******6349, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 20.11.21 на сумму 570(KZT), Терминал 20903613"
93,2ПОС," Оплата товара, услуги, по карте 489993******9960, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 21.11.21 на сумму 1060(KZT), Терминал 20903613"
94,2ПОС," Оплата товара, услуги, по карте 404932******0975, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 22.11.21 на сумму 640(KZT), Терминал 20903613"
95,2ПОС," Оплата товара, услуги, по карте 420363******6126, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 23.11.21 на сумму 395(KZT), Терминал 20903613"
96,2ПОС," Оплата товара, услуги, по карте 451707******8109, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 24.11.21 на сумму 2260(KZT), Терминал 20903613"
97,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 25.11.21 на сумму 1315(KZT), Терминал 20903613"
98,2ПОС," Оплата товара, услуги, по карте 497149******4074, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 26.11.21 на сумму 1170(KZT), Терминал 20903613"
99,2ПОС," Оплата товара, услуги, по карте 445332******7555, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 27.11.21 на сумму 7060(KZT), Терминал 20903613"
100,2ПОС," Оплата товара, услуги, по карте 533193******2050, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 28.11.21 на сумму 4201.8(KZT), Терминал 20903613"
104,2ПОС," Оплата товара, услуги, по карте 440043******5460, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 29.11.21 на сумму 585(KZT), Терминал 20903613"
105,2ПОС," Оплата товара, услуги, по карте 489993******9960, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 30.11.21 на сумму 4959(KZT), Терминал 20903613"
106,2ПОС," Оплата товара, услуги, по карте 440043******4193, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 01.12.21 на сумму 4302(KZT), Терминал 20903613"
107,2ПОС," Оплата товара, услуги, по карте 420363******6126, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 02.12.21 на сумму 395(KZT), Терминал 20903613"
111,2ПОС," Оплата товара, услуги, по карте 440043******1362, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 03.12.21 на сумму 1950(KZT), Терминал 20903613"
112,2ПОС," Оплата товара, услуги, по карте 426739******0002, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 04.12.21 на сумму 10093.5(KZT), Терминал 20903613"
113,2ПОС," Оплата товара, услуги, по карте 440043******5417, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 05.12.21 на сумму 2795(KZT), Терминал 20903613"
114,2ПОС," Оплата товара, услуги, по карте 445329******9819, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.12.21 на сумму 2700(KZT), Терминал 20903613"
115,2ПОС," Оплата товара, услуги, по карте 440563******8526, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.12.21 на сумму 220(KZT), Терминал 20903613"
116,2ПОС," Оплата товара, услуги, по карте 440043******5835, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.12.21 на сумму 3168(KZT), Терминал 20903613"
117,2ПОС," Оплата товара, услуги, по карте 516949******5024, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.12.21 на сумму 720(KZT), Терминал 20903613"
118,2ПОС," Оплата за товар, услугу 30,01,22 год"
119,2ПОС," Оплата товара, услуги, по карте 535650******1369, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.12.21 на сумму 15390(KZT), Терминал 20903613"
120,2ПОС," Оплата товара, услуги, по карте 445329******5348, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 2820(KZT), Терминал 20903613"
121,2ПОС," Оплата товара, услуги, по карте 440563******1293, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 1040(KZT), Терминал 20903613"
122,2ПОС," Оплата товара, услуги, по карте 445329******2274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 1833.3(KZT), Терминал 20903613"
123,2ПОС," Оплата товара, услуги, по карте 462818******1809, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 3446(KZT), Терминал 20903613"
124,2ПОС," Оплата товара, услуги, по карте 440043******5835, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 2527.2(KZT), Терминал 20903613"
125,2ПОС," Оплата товара, услуги, по карте 479585******7864, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 7805(KZT), Терминал 20903613"
126,2ПОС," Оплата товара, услуги, по карте 516949******8322, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 3096.9(KZT), Терминал 20903613"
127,2ПОС," Оплата товара, услуги, по карте 516949******8686, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 07.12.21 на сумму 400(KZT), Терминал 20903613"
128,2ПОС," Оплата товара, услуги, по карте 440563******7084, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 595(KZT), Терминал 20903613"
129,2ПОС," Оплата товара, услуги, по карте 426343******2345, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 745(KZT), Терминал 20903613"
130,2ПОС," Оплата товара, услуги, по карте 440563******2495, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 1800(KZT), Терминал 20903613"
131,2ПОС," Оплата товара, услуги, по карте 433017******5132, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 7063.25(KZT), Терминал 20903613"
132,2ПОС," Оплата товара, услуги, по карте 479585******7864, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 24530(KZT), Терминал 20903613"
133,2ПОС," Оплата товара, услуги, по карте 440043******5835, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 2469.98(KZT), Терминал 20903613"
134,2ПОС," Оплата товара, услуги, по карте 545573******8655, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 3570(KZT), Терминал 20903613"
135,2ПОС," Оплата товара, услуги, по карте 516949******8842, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 08.12.21 на сумму 2942.2(KZT), Терминал 20903613"
136,2ПОС," Оплата товара, услуги, по карте 440043******6657, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 09.12.21 на сумму 3150(KZT), Терминал 20903613"
137,2ПОС," Оплата товара, услуги, по карте 445237******3157, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 10.12.21 на сумму 27413.65(KZT), Терминал 20903613"
138,2ПОС," Оплата товара, услуги, по карте 426343******9847, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 11.12.21 на сумму 3395(KZT), Терминал 20903613"
139,2ПОС, Продажи с Kaspi.kz за 02/05/2022
140,2ПОС," Оплата товара, услуги, по карте 440043******8892, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 12.12.21 на сумму 1140(KZT), Терминал 20903613"
142,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 13.12.21 на сумму 1315(KZT), Терминал 20903613"
143,2ПОС," Оплата товара, услуги, по карте 445024******0026, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 14.12.21 на сумму 590(KZT), Терминал 20903613"
144,2ПОС," Оплата товара, услуги, по карте 479585******7864, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 15.12.21 на сумму 15370(KZT), Терминал 20903613"
145,2ПОС," Оплата товара, услуги, по карте 440043******1353, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 16.12.21 на сумму 3330(KZT), Терминал 20903613"
146,2ПОС," Оплата товара, услуги, по карте 440043******6683, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 17.12.21 на сумму 340(KZT), Терминал 20903613"
147,2ПОС," Оплата товара, услуги, по карте 452490******0224, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 18.12.21 на сумму 450(KZT), Терминал 20903613"
148,2ПОС," Оплата товара, услуги, по карте 445333******9940, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 19.12.21 на сумму 3000(KZT), Терминал 20903613"
149,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 20.12.21 на сумму 645(KZT), Терминал 20903613"
150,2ПОС," Оплата товара, услуги, по карте 462818******1809, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 21.12.21 на сумму 6060(KZT), Терминал 20903613"
151,2ПОС," Оплата товара, услуги, по карте 440043******9274, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 22.12.21 на сумму 670(KZT), Терминал 20903613"
152,2ПОС," Оплата товара, услуги, по карте 426904******5357, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 23.12.21 на сумму 1360(KZT), Терминал 20903613"
153,2ПОС," Оплата товара, услуги, по карте 404243******6262, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 24.12.21 на сумму 27815(KZT), Терминал 20903613"
154,2ПОС," Оплата товара, услуги, по карте 445045******1409, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 25.12.21 на сумму 27022(KZT), Терминал 20903613"
155,2ПОС," Оплата товара, услуги, по карте 440043******1080, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 26.12.21 на сумму 1420(KZT), Терминал 20903613"
